date,time,region,gmv,cnt_call,is_exp,const
2020/3/4,17,3,1.306209559,1.055550421,0,1
2020/3/4,18,3,2.716053708,2.413255779,1,1
2020/3/4,19,3,1.993414323,1.598632564,0,1
2020/3/4,20,3,3.16549283,1.870173636,1,1
2020/3/4,21,3,1.964519425,1.327091492,0,1
2020/3/4,22,3,1.505270718,1.055550421,1,1
2020/3/4,23,3,2.550425215,0.784009349,0,1
2020/3/4,24,3,1.952707884,2.956337923,1,1
2020/3/4,25,3,1.010453926,0.784009349,0,1
2020/3/4,26,3,5.095578612,4.585584353,1,1
2020/3/4,27,3,1.360462567,6.757912927,0,1
2020/3/4,28,3,2.423100813,1.598632564,1,1
2020/3/4,29,3,1.651146579,1.055550421,0,1
2020/3/4,30,3,0.523911886,0.784009349,1,1
2020/3/4,31,3,0.905017577,0.784009349,0,1
2020/3/4,32,3,0.552873516,0.784009349,1,1
2020/3/4,33,3,2.326873461,2.141714708,0,1
2020/3/4,34,3,2.524399787,2.141714708,1,1
2020/3/4,35,3,1.972260321,0.240927206,0,1
2020/3/4,36,3,1.415583089,0.784009349,1,1
2020/3/4,37,3,0.348140149,0.512468277,0,1
2020/3/4,38,3,1.181354237,0.240927206,1,1
2020/3/4,39,3,0.762211382,1.327091492,0,1
2020/3/4,40,3,2.37578792,0.240927206,1,1
2020/3/4,41,3,0.487142627,0.512468277,0,1
2020/3/4,42,3,0.951729883,0.240927206,1,1
2020/3/4,43,3,0.414071233,-0.302154938,0,1
2020/3/4,44,3,0.121852389,-0.57369601,1,1
2020/3/4,45,3,0.085016398,-0.845237081,0,1
2020/3/4,46,3,0,-0.845237081,1,1
2020/3/4,47,3,0.069134214,-0.57369601,0,1
2020/3/5,0,3,0,-0.845237081,0,1
2020/3/5,1,3,0,-0.845237081,1,1
2020/3/5,2,3,0,-1.116778153,0,1
2020/3/5,3,3,0,-0.302154938,1,1
2020/3/5,4,3,0,-0.57369601,0,1
2020/3/5,5,3,0,-1.116778153,0,1
2020/3/5,6,3,0,-1.116778153,0,1
2020/3/5,7,3,0,-1.116778153,0,1
2020/3/5,8,3,0,-0.845237081,0,1
2020/3/5,9,3,0,-1.116778153,0,1
